% number of users logged on to internet and first differences \section 9.4
                  88            -9999.99
                  84                  -4
                  85                   1
                  85                   0
                  84                  -1
                  85                   1
                  83                  -2
                  85                   2
                  88                   3
                  89                   1
                  91                   2
                  99                   8
                 104                   5
                 112                   8
                 126                  14
                 138                  12
                 146                   8
                 151                   5
                 150                  -1
                 148                  -2
                 147                  -1
                 149                   2
                 143                  -6
                 132                 -11
                 131                  -1
                 139                   8
                 147                   8
                 150                   3
                 148                  -2
                 145                  -3
                 140                  -5
                 134                  -6
                 131                  -3
                 131                   0
                 129                  -2
                 126                  -3
                 126                   0
                 132                   6
                 137                   5
                 140                   3
                 142                   2
                 150                   8
                 159                   9
                 167                   8
                 170                   3
                 171                   1
                 172                   1
                 172                   0
                 174                   2
                 175                   1
                 172                  -3
                 172                   0
                 174                   2
                 174                   0
                 169                  -5
                 165                  -4
                 156                  -9
                 142                 -14
                 131                 -11
                 121                 -10
                 112                  -9
                 104                  -8
                 102                  -2
                  99                  -3
                  99                   0
                  95                  -4
                  88                  -7
                  84                  -4
                  84                   0
                  87                   3
                  89                   2
                  88                  -1
                  85                  -3
                  86                   1
                  89                   3
                  91                   2
                  91                   0
                  94                   3
                 101                   7
                 110                   9
                 121                  11
                 135                  14
                 145                  10
                 149                   4
                 156                   7
                 165                   9
                 171                   6
                 175                   4
                 177                   2
                 182                   5
                 193                  11
                 204                  11
                 208                   4
                 210                   2
                 215                   5
                 222                   7
                 228                   6
                 226                  -2
                 222                  -4
                 220                  -2
