% time index, time interval (times 5) and motorcycle acceleration data \section 9.5
     2.4           0               0  
     2.6           1            -1.3  
     3.2           3            -2.7  
     3.6           2               0  
       4           2            -2.7  
     6.2          11            -2.7  
     6.6           2            -2.7  
     6.8           1            -1.3  
     7.8           5            -2.7  
     8.2           2            -2.7  
     8.8           3            -1.3  
     8.8           0            -2.7  
     9.6           4            -2.7  
      10           2            -2.7  
    10.2           1            -5.4  
    10.6           2            -2.7  
      11           2            -5.4  
    11.4           2               0  
    13.2           9            -2.7  
    13.6           2            -2.7  
    13.8           1               0  
    14.6           4           -13.3  
    14.6           0            -5.4  
    14.6           0            -5.4  
    14.6           0            -9.3  
    14.6           0             -16  
    14.6           0           -22.8  
    14.8           1            -2.7  
    15.4           3           -22.8  
    15.4           0           -32.1  
    15.4           0           -53.5  
    15.4           0           -54.9  
    15.6           1           -40.2  
    15.6           0           -21.5  
    15.8           1           -21.5  
    15.8           0           -50.8  
      16           1           -42.9  
      16           0           -26.8  
    16.2           1           -21.5  
    16.2           0           -50.8  
    16.2           0           -61.7  
    16.4           1            -5.4  
    16.4           0           -80.4  
    16.6           1             -59  
    16.8           1             -71  
    16.8           0           -91.1  
    16.8           0           -77.7  
    17.6           4           -37.5  
    17.6           0           -85.6  
    17.6           0          -123.1  
    17.6           0          -101.9  
    17.8           1           -99.1  
    17.8           0          -104.4  
    18.6           4          -112.5  
    18.6           0           -50.8  
    19.2           3          -123.1  
    19.4           1           -85.6  
    19.4           0           -72.3  
    19.6           1          -127.2  
    20.2           3          -123.1  
    20.4           1          -117.9  
    21.2           4            -134  
    21.4           1          -101.9  
    21.8           2          -108.4  
      22           1          -123.1  
    23.2           6          -123.1  
    23.4           1          -128.5  
      24           3          -112.5  
    24.2           1           -95.1  
    24.2           0           -81.8  
    24.6           2           -53.5  
      25           2           -64.4  
      25           0           -57.6  
    25.4           2           -72.3  
    25.4           0           -44.3  
    25.6           1           -26.8  
      26           2            -5.4  
    26.2           1          -107.1  
    26.2           0           -21.5  
    26.4           1           -65.6  
      27           3             -16  
    27.2           1           -45.6  
    27.2           0           -24.2  
    27.2           0             9.5  
    27.6           2               4  
    28.2           3              12  
    28.4           1           -21.5  
    28.4           0            37.5  
    28.6           1            46.9  
    29.4           4           -17.4  
    30.2           4            36.2  
      31           4              75  
    31.2           1             8.1  
      32           4            54.9  
      32           0            48.2  
    32.8           4            46.9  
    33.4           3              16  
    33.8           2            45.6  
    34.4           3             1.3  
    34.8           2              75  
    35.2           2             -16  
    35.2           0           -54.9  
    35.4           1            69.6  
    35.6           1            34.8  
    35.6           0            32.1  
    36.2           3           -37.5  
    36.2           0            22.8  
      38           9            46.9  
      38           0            10.7  
    39.2           6             5.4  
    39.4           1            -1.3  
      40           3           -21.5  
    40.4           2           -13.3  
    41.6           6            30.8  
    41.6           0           -10.7  
    42.4           4            29.4  
    42.8           2               0  
    42.8           0           -10.7  
      43           1            14.7  
      44           5            -1.3  
    44.4           2               0  
      45           3            10.7  
    46.6           8            10.7  
    47.8           6           -26.8  
    47.8           0           -14.7  
    48.8           5           -13.3  
    50.6           9               0  
      52           7            10.7  
    53.2           6           -14.7  
      55           9            -2.7  
      55           0            10.7  
    55.4           2            -2.7  
    57.6          11            10.7  
