 Series Q   LOGGED AND CODED U.S. HOG PRICE DATA: ANNUAL
 _________________________________________________________

  1867   597     1888   709     1909   810     1929  1112
  1868   509     1889   763     1910   957     1930  1129
  1869   663     1890   681     1911   970     1931  1055
  1870   751     1891   627     1912   903     1932   787
  1871   739     1892   667     1913   995     1933   624
  1872   598     1893   804     1914  1022     1934   612
  1873   556     1894   782     1915   998     1935   800
  1874   594     1895   707     1916   928     1936  1104
  1875   667     1896   653     1917  1073     1937  1075
  1876   776     1897   639     1918  1294     1938  1052
  1877   754     1898   672     1919  1346     1939  1048
  1878   689     1899   669     1920  1301     1940   891
  1879   498     1900   729     1921  1134     1941   921
  1880   643     1901   784     1922  1024     1942  1193
  1881   681     1902   842     1923  1090     1943  1352
  1882   778     1903   886     1924  1013     1944  1243
  1883   829     1904   784     1925  1119     1945  1314
  1884   751     1905   770     1926  1195     1946  1380
  1885   704     1906   783     1927  1235     1947  1556
  1886   633     1907   877     1928  1120     1948  1632
  1887   663     1908   777
 _________________________________________________________

  82 observations; values are 1000 log (H ), where H  is the
  price, in dollars, per head on January 1 of the year.
