 Series N   MINK FUR SALES OF THE HUDSON'S BAY COMPANY: ANNUAL
 __________________________________________________________________

  1850   29619     1866   51404     1882    45600     1897   76365
  1851   21151     1867   58451     1883    47508     1898   70407
  1852   24859     1868   73575     1884    52290     1899   41839
  1853   25152     1869   74343     1885   110824     1900   45978
  1854   42375     1870   27708     1886    76503     1901   47813
  1855   50839     1871   31985     1887    64303     1902   57620
  1856   61581     1872   39266     1888    83023     1903   66549
  1857   61951     1873   44740     1889    40748     1904   54673
  1858   76231     1874   60429     1890    35596     1905   55996
  1859   63264     1875   72273     1891    29479     1906   60053
  1860   44730     1876   79214     1892    42264     1907   39169
  1861   31094     1877   79060     1893    58171     1908   21534
  1862   49452     1878   84244     1894    50815     1909   17857
  1863   43961     1879   62590     1895    51285     1910   21788
  1864   61727     1880   35072     1896    70229     1911   33008
  1865   60334     1881   36160
 __________________________________________________________________

  62 Observations.
