 Series P   UNEMPLOYMENT AND GDP IN UK: QUARTERLY

           UN     GDP             UN     GDP             UN    GDP
 ____________________________________________________________________

  1955  1  225   81.37   1960  1  363   92.30   1965  1  306  108.07
        2  208   82.60         2  342   92.13         2  304  107.64
        3  201   82.30         3  325   93.17         3  321  108.87
        4  199   83.00         4  312   93.50         4  305  109.75
  1956  1  207   82.87   1961  1  291   94.77   1966  1  279  110.20
        2  215   83.60         2  293   95.37         2  282  110.20
        3  240   83.33         3  304   95.03         3  318  110.90
        4  245   83.53         4  330   95.23         4  414  110.40
  1957  1  295   84.27   1962  1  357   95.07   1967  1  463  111.00
        2  293   85.50         2  401   96.40         2  506  112.10
        3  279   84.33         3  447   96.97         3  538  112.50
        4  287   84.30         4  483   96.50         4  536  113.00
  1958  1  331   85.07   1963  1  535   96.16   1968  1  544  114.30
        2  396   83.60         2  520   99.79         2  541  115.10
        3  432   84.37         3  489  101.14         3  547  116.40
        4  462   84.50         4  456  102.95         4  532  117.80
  1959  1  454   85.20   1964  1  386  103.96   1969  1  532  116.80
        2  446   87.07         2  368  105.28         2  519  117.80
        3  426   88.40         3  358  105.81         3  547  119.00
        4  402   90.03         4  330  107.14         4  544  119.60
 ____________________________________________________________________

  60 pairs of data; data are seasonally adjusted; unemployment (UN) in
  thousands; gross domestic product (GDP) is composite estimate (1963 =
  100).
